time,cw,cc,i,cw unscaled,cc unscaled,iunscaled
6/5/2016 7:00,-0.028184171,-0.031245526,-0.029875519,-0.093947237,-0.104151753,-0.099585063
6/5/2016 7:15,-0.029196441,-0.031599857,-0.030168939,-0.09732147,-0.105332857,-0.10056313
6/5/2016 7:30,-0.029477358,-0.030708661,-0.029430943,-0.09825786,-0.102362203,-0.098103143
6/5/2016 7:45,-0.029477358,-0.034015748,-0.032169532,-0.09825786,-0.113385827,-0.107231773
6/5/2016 8:00,-0.028789596,-0.031513958,-0.030097807,-0.09596532,-0.105046527,-0.100326023
6/5/2016 8:15,-0.027942001,-0.033027917,-0.031351512,-0.093140003,-0.110093057,-0.10450504
6/5/2016 8:30,-0.028789596,-0.031513958,-0.030097807,-0.09596532,-0.105046527,-0.100326023
6/5/2016 8:45,-0.028789596,-0.030880458,-0.029573207,-0.09596532,-0.10293486,-0.098577357
6/5/2016 9:00,-0.028227762,-0.034638511,-0.03268524,-0.09409254,-0.115461703,-0.1089508
6/5/2016 9:15,-0.027380167,-0.037151038,-0.034765857,-0.091267223,-0.123836793,-0.11588619
6/5/2016 9:30,-0.027820916,-0.025780243,-0.025349733,-0.092736387,-0.085934143,-0.08449911
6/5/2016 9:45,-0.028954271,-0.032050823,-0.030542383,-0.096514237,-0.106836077,-0.101807943
6/5/2016 10:00,-0.026125728,-0.029538296,-0.028461766,-0.08708576,-0.098460987,-0.094872553
6/5/2016 10:15,-0.026692405,-0.028024338,-0.027208062,-0.088974683,-0.09341446,-0.09069354
6/5/2016 10:30,-0.026290403,-0.029903364,-0.028764078,-0.087634677,-0.09967788,-0.09588026
6/5/2016 10:45,-0.02657132,-0.028024338,-0.027208062,-0.088571067,-0.09341446,-0.09069354
6/5/2016 11:00,-0.026169318,-0.030526127,-0.029279787,-0.08723106,-0.101753757,-0.09759929
6/5/2016 11:15,-0.028145424,-0.035540444,-0.033432128,-0.09381808,-0.118468147,-0.111440427
6/5/2016 11:30,-0.027016913,-0.03114889,-0.029795495,-0.090056377,-0.103829633,-0.099318317
6/5/2016 11:45,-0.025883558,-0.032587688,-0.030986959,-0.086278527,-0.108625627,-0.103289863
6/5/2016 12:00,-0.024353044,-0.030075161,-0.028906343,-0.081176813,-0.100250537,-0.096354477
6/5/2016 12:15,-0.024914878,-0.029989263,-0.02883521,-0.083049593,-0.09996421,-0.096117367
6/5/2016 12:30,-0.025762473,-0.030612026,-0.029350919,-0.08587491,-0.102040087,-0.097836397
6/5/2016 12:45,-0.027743422,-0.030977094,-0.029653231,-0.092478073,-0.10325698,-0.098844103
6/5/2016 13:00,-0.024067284,-0.028378669,-0.027501482,-0.08022428,-0.094595563,-0.091671607
6/5/2016 13:15,-0.026048233,-0.027755906,-0.026985774,-0.086827443,-0.092519687,-0.08995258
6/5/2016 13:30,-0.025762473,-0.031245526,-0.029875519,-0.08587491,-0.104151753,-0.099585063
6/5/2016 13:45,-0.025200639,-0.033124553,-0.031431535,-0.08400213,-0.110415177,-0.104771783
6/5/2016 14:00,-0.025200639,-0.033124553,-0.031431535,-0.08400213,-0.110415177,-0.104771783
6/5/2016 14:15,-0.025200639,-0.030171797,-0.028986366,-0.08400213,-0.100572657,-0.09662122
6/5/2016 14:30,-0.027176745,-0.02829277,-0.02743035,-0.09058915,-0.094309233,-0.0914345
6/5/2016 14:45,-0.027622337,-0.031868289,-0.030391227,-0.092074457,-0.10622763,-0.10130409
6/5/2016 15:00,-0.025641388,-0.034735147,-0.032765264,-0.085471293,-0.115783823,-0.109217547
6/5/2016 15:15,-0.027622337,-0.036614173,-0.03432128,-0.092074457,-0.122047243,-0.114404267
6/5/2016 15:30,-0.026488982,-0.03222262,-0.030684647,-0.088296607,-0.107408733,-0.102282157
6/5/2016 15:45,-0.026450235,-0.033747316,-0.031947244,-0.08816745,-0.112491053,-0.106490813
6/5/2016 16:00,-0.026610067,-0.034735147,-0.032765264,-0.088700223,-0.115783823,-0.109217547
6/5/2016 16:15,-0.028712101,-0.032587688,-0.030986959,-0.095707003,-0.108625627,-0.103289863
6/5/2016 16:30,-0.026450235,-0.032587688,-0.030986959,-0.08816745,-0.108625627,-0.103289863
6/5/2016 16:45,-0.027137997,-0.028464567,-0.027572614,-0.09045999,-0.09488189,-0.091908713
6/5/2016 17:00,-0.027864507,-0.032673586,-0.031058091,-0.09288169,-0.108911953,-0.10352697
6/5/2016 17:15,-0.028712101,-0.035175376,-0.033129816,-0.095707003,-0.117251253,-0.11043272
6/5/2016 17:30,-0.027743422,-0.032673586,-0.031058091,-0.092478073,-0.108911953,-0.10352697
6/5/2016 17:45,-0.028712101,-0.035808876,-0.033654416,-0.095707003,-0.11936292,-0.112181387
6/5/2016 18:00,-0.027864507,-0.033661417,-0.031876111,-0.09288169,-0.112204723,-0.106253703
6/5/2016 18:15,-0.029235188,-0.035808876,-0.033654416,-0.097450627,-0.11936292,-0.112181387
