----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/04 02:30:00 428.279170 
    2016/06/04 02:45:00 428.277670 
    2016/06/04 03:00:00 428.280000 
    2016/06/04 03:15:00 428.283830 
    2016/06/04 03:30:00 428.285580 
    2016/06/04 03:45:00 428.280670 
    2016/06/04 04:00:00 428.285580 
    2016/06/04 04:15:00 428.286170 
    2016/06/04 04:30:00 428.285000 
    2016/06/04 04:45:00 428.284670 
    2016/06/04 05:00:00 428.286170 
    2016/06/04 05:15:00 428.284080 
    2016/06/04 05:30:00 428.286750 
    2016/06/04 05:45:00 428.286170 
    2016/06/04 06:00:00 428.286750 
    2016/06/04 06:15:00 428.289080 
    2016/06/04 06:30:00 428.283500 
    2016/06/04 06:45:00 428.286750 
    2016/06/04 07:00:00 428.287920 
    2016/06/04 07:15:00 428.283830 
    2016/06/04 07:30:00 428.283830 
    2016/06/04 07:45:00 428.286420 
    2016/06/04 08:00:00 428.287920 
    2016/06/04 08:15:00 428.286170 
    2016/06/04 08:30:00 428.284080 
    2016/06/04 08:45:00 428.284080 
    2016/06/04 09:00:00 428.287580 
    2016/06/04 09:15:00 428.283830 
    2016/06/04 09:30:00 428.286170 
    2016/06/04 09:45:00 428.280920 
    2016/06/04 10:00:00 428.280000 
    2016/06/04 10:15:00 428.281500 
    2016/06/04 10:30:00 428.279750 
    2016/06/04 10:45:00 428.280920 
    2016/06/04 11:00:00 428.279420 
    2016/06/04 11:15:00 428.280580 
    2016/06/04 11:30:00 428.284670 
    2016/06/04 11:45:00 428.280580 
    2016/06/04 12:00:00 428.284420 
    2016/06/04 12:15:00 428.282670 
    2016/06/04 12:30:00 428.277080 
    2016/06/04 12:45:00 428.280920 
    2016/06/04 13:00:00 428.282080 
    2016/06/04 13:15:00 428.275330 
    2016/06/04 13:30:00 428.280920 
    2016/06/04 13:45:00 428.277080 
    2016/06/04 14:00:00 428.278250 
    2016/06/04 14:15:00 428.276500 
    2016/06/04 14:30:00 428.275670 
    2016/06/04 14:45:00 428.277420 
    2016/06/04 15:00:00 428.275920 
    2016/06/04 15:15:00 428.274170 
    2016/06/04 15:30:00 428.274750 
    2016/06/04 15:45:00 428.275670 
    2016/06/04 16:00:00 428.271830 
    2016/06/04 16:15:00 428.276750 
    2016/06/04 16:30:00 428.274170 
    2016/06/04 16:45:00 428.269500 
    2016/06/04 17:00:00 428.277420 
    2016/06/04 17:15:00 428.277670 
    2016/06/04 17:30:00 428.276500 
    2016/06/04 17:45:00 428.275920 
    2016/06/04 18:00:00 428.278000 
    2016/06/04 18:15:00 428.275080 
    2016/06/04 18:30:00 428.275670 
    2016/06/04 18:45:00 428.275080 
    2016/06/04 19:00:00 428.278830 
    2016/06/04 19:15:00 428.278830 
    2016/06/04 19:30:00 428.274750 
    2016/06/04 19:45:00 428.277420 
    2016/06/04 20:00:00 428.279170 
    2016/06/04 20:15:00 428.279420 
    2016/06/04 20:30:00 428.280920 
    2016/06/04 20:45:00 428.274170 
    2016/06/04 21:00:00 428.276830 
    2016/06/04 21:15:00 428.275920 
    2016/06/04 21:30:00 428.276830 
    2016/06/04 21:45:00 428.276830 
    2016/06/04 22:00:00 428.279170 
    2016/06/04 22:15:00 428.278830 
    2016/06/04 22:30:00 428.276830 
    2016/06/04 22:45:00 428.278000 
    2016/06/04 23:00:00 428.275670 
    2016/06/04 23:15:00 428.276830 
    2016/06/04 23:30:00 428.282670 
    2016/06/04 23:45:00 428.278830 
    2016/06/05 00:00:00 428.278830 
    2016/06/05 00:15:00 428.280330 
    2016/06/05 00:30:00 428.283500 
    2016/06/05 00:45:00 428.281750 
    2016/06/05 01:00:00 428.281500 
    2016/06/05 01:15:00 428.279170 
    2016/06/05 01:30:00 428.278830 
    2016/06/05 01:45:00 428.281170 
    2016/06/05 02:00:00 428.275330 
    2016/06/05 02:15:00 428.278830 
    2016/06/05 02:30:00 428.277080 
    2016/06/05 02:45:00 428.278500 
    2016/06/05 03:00:00 428.280250 
    2016/06/05 03:15:00 428.278250 
    2016/06/05 03:30:00 428.278250 
    2016/06/05 03:45:00 428.276500 
    2016/06/05 04:00:00 428.278830 
    2016/06/05 04:15:00 428.280000 
    2016/06/05 04:30:00 428.276500 
    2016/06/05 04:45:00 428.277080 
    2016/06/05 05:00:00 428.274750 
    2016/06/05 05:15:00 428.277080 
    2016/06/05 05:30:00 428.275330 
    2016/06/05 05:45:00 428.277080 
    2016/06/05 06:00:00 428.278830 
    2016/06/05 06:15:00 428.276500 
    2016/06/05 06:30:00 428.276500 
    2016/06/05 06:45:00 428.273580 
    2016/06/05 07:00:00 428.275920 
    2016/06/05 07:15:00 428.273580 
    2016/06/05 07:30:00 428.269750 
    2016/06/05 07:45:00 428.271250 
    2016/06/05 08:00:00 428.268920 
    2016/06/05 08:15:00 428.270920 
    2016/06/05 08:30:00 428.265670 
    2016/06/05 08:45:00 428.268920 
    2016/06/05 09:00:00 428.266830 
    2016/06/05 09:15:00 428.266830 
    2016/06/05 09:30:00 428.265670 
    2016/06/05 09:45:00 428.264830 
    2016/06/05 10:00:00 428.267420 
    2016/06/05 10:15:00 428.266500 
    2016/06/05 10:30:00 428.265330 
    2016/06/05 10:45:00 428.264500 
    2016/06/05 11:00:00 428.265330 
    2016/06/05 11:15:00 428.262750 
    2016/06/05 11:30:00 428.263580 
    2016/06/05 11:45:00 428.269170 
    2016/06/05 12:00:00 428.277080 
    2016/06/05 12:15:00 428.276420 
    2016/06/05 12:30:00 428.272670 
    2016/06/05 12:45:00 428.266830 
    2016/06/05 13:00:00 428.271170 
    2016/06/05 13:15:00 428.267080 
    2016/06/05 13:30:00 428.269670 
    2016/06/05 13:45:00 428.269330 
    2016/06/05 14:00:00 428.271080 
    2016/06/05 14:15:00 428.271080 
    2016/06/05 14:30:00 428.270500 
    2016/06/05 14:45:00 428.267580 
    2016/06/05 15:00:00 428.273420 
    2016/06/05 15:15:00 428.272830 
    2016/06/05 15:30:00 428.278420 
    2016/06/05 15:45:00 428.281000 
    2016/06/05 16:00:00 428.283670 
    2016/06/05 16:15:00 428.281330 
    2016/06/05 16:30:00 428.282250 
    2016/06/05 16:45:00 428.282830 
    2016/06/05 17:00:00 428.279080 
    2016/06/05 17:15:00 428.275830 
    2016/06/05 17:30:00 428.279080 
    2016/06/05 17:45:00 428.277330 
    2016/06/05 18:00:00 428.279330 
    2016/06/05 18:15:00 428.278250 
    2016/06/05 18:30:00 428.280830 
    2016/06/05 18:45:00 428.279080 
    2016/06/05 19:00:00 428.281420 
    2016/06/05 19:15:00 428.280250 
    2016/06/05 19:30:00 428.279080 
    2016/06/05 19:45:00 428.282580 
    2016/06/05 20:00:00 428.282830 
    2016/06/05 20:15:00 428.286670 
    2016/06/05 20:30:00 428.285250 
    2016/06/05 20:45:00 428.281170 
    2016/06/05 21:00:00 428.282000 
    2016/06/05 21:15:00 428.281080 
    2016/06/05 21:30:00 428.284330 
    2016/06/05 21:45:00 428.280580 
    2016/06/05 22:00:00 428.286670 
    2016/06/05 22:15:00 428.282330 
    2016/06/05 22:30:00 428.282000 
    2016/06/05 22:45:00 428.284080 
    2016/06/05 23:00:00 428.286420 
    2016/06/05 23:15:00 428.282330 
    2016/06/05 23:30:00 428.284920 
    2016/06/05 23:45:00 428.284920 
    2016/06/06 00:00:00 428.287250 
    2016/06/06 00:15:00 428.287000 
    2016/06/06 00:30:00 428.285830 
    2016/06/06 00:45:00 428.284080 
    2016/06/06 01:00:00 428.285830 
    2016/06/06 01:15:00 428.285250 
    2016/06/06 01:30:00 428.284670 
    2016/06/06 01:45:00 428.282920 
    2016/06/06 02:00:00 428.281420 
    2016/06/06 02:15:00 428.279670 
    2016/06/06 02:30:00 428.280920 
    2016/06/06 02:45:00 428.277080 
    2016/06/06 03:00:00 428.281750 
    2016/06/06 03:15:00 428.279170 
    2016/06/06 03:30:00 428.280920 
    2016/06/06 03:45:00 428.275330 
    2016/06/06 04:00:00 428.283250 
    2016/06/06 04:15:00 428.284330 
    2016/06/06 04:30:00 428.283750 
    2016/06/06 04:45:00 428.279170 
    2016/06/06 05:00:00 428.279420 
    2016/06/06 05:15:00 428.284080 
    2016/06/06 05:30:00 428.279420 
    2016/06/06 05:45:00 428.280830 
    2016/06/06 06:00:00 428.283250 
    2016/06/06 06:15:00 428.282330 
    2016/06/06 06:30:00 428.282920 
    2016/06/06 06:45:00 428.283170 
    2016/06/06 07:00:00 428.276170 
    2016/06/06 07:15:00 428.284080 
    2016/06/06 07:30:00 428.280000 
    2016/06/06 07:45:00 428.280000 
    2016/06/06 08:00:00 428.280250 
    2016/06/06 08:15:00 428.282330 
    2016/06/06 08:30:00 428.285250 
    2016/06/06 08:45:00 428.281750 
    2016/06/06 09:00:00 428.275580 
    2016/06/06 09:15:00 428.279080 
    2016/06/06 09:30:00 428.279670 
    2016/06/06 09:45:00 428.276170 
    2016/06/06 10:00:00 428.277920 
    2016/06/06 10:15:00 428.278250 
    2016/06/06 10:30:00 428.277330 
    2016/06/06 10:45:00 428.275330 
    2016/06/06 11:00:00 428.274420 
    2016/06/06 11:15:00 428.272670 
    2016/06/06 11:30:00 428.273830 
    2016/06/06 11:45:00 428.273500 
    2016/06/06 12:00:00 428.268830 
    2016/06/06 12:15:00 428.273580 
    2016/06/06 12:30:00 428.275250 
    2016/06/06 12:45:00 428.271500 
    2016/06/06 13:00:00 428.268580 
    2016/06/06 13:15:00 428.271170 
    2016/06/06 13:30:00 428.273250 
    2016/06/06 13:45:00 428.273580 
    2016/06/06 14:00:00 428.274170 
    2016/06/06 14:15:00 428.278830 
    2016/06/06 14:30:00 428.275000 
    2016/06/06 14:45:00 428.275920 
    2016/06/06 15:00:00 428.274750 
    2016/06/06 15:15:00 428.271500 
    2016/06/06 15:30:00 428.272670 
    2016/06/06 15:45:00 428.272080 
    2016/06/06 16:00:00 428.272670 
    2016/06/06 16:15:00 428.278830 
    2016/06/06 16:30:00 428.272670 
    2016/06/06 16:45:00 428.274750 
    2016/06/06 17:00:00 428.277080 
    2016/06/06 17:15:00 428.276830 
    2016/06/06 17:30:00 428.279750 
    2016/06/06 17:45:00 428.279750 
    2016/06/06 18:00:00 428.278830 
    2016/06/06 18:15:00 428.275330 
    2016/06/06 18:30:00 428.277670 
    2016/06/06 18:45:00 428.277670 
    2016/06/06 19:00:00 428.279750 
    2016/06/06 19:15:00 428.281170 
    2016/06/06 19:30:00 428.278580 
    2016/06/06 19:45:00 428.280000 
    2016/06/06 20:00:00 428.278250 
    2016/06/06 20:15:00 428.282080 
    2016/06/06 20:30:00 428.280580 
    2016/06/06 20:45:00 428.283000 
    2016/06/06 21:00:00 428.278330 
    2016/06/06 21:15:00 428.275330 
    2016/06/06 21:30:00 428.280330 
    2016/06/06 21:45:00 428.279170 
    2016/06/06 22:00:00 428.275920 
    2016/06/06 22:15:00 428.280920 
    2016/06/06 22:30:00 428.281250 
    2016/06/06 22:45:00 428.281830 
    2016/06/06 23:00:00 428.278250 
    2016/06/06 23:15:00 428.279420 
    2016/06/06 23:30:00 428.275920 
    2016/06/06 23:45:00 428.279750 
    2016/06/07 00:00:00 428.278830 
    2016/06/07 00:15:00 428.282080 
    2016/06/07 00:30:00 428.283830 
    2016/06/07 00:45:00 428.281170 
    2016/06/07 01:00:00 428.284170 
    2016/06/07 01:15:00 428.282080 
    2016/06/07 01:30:00 428.281170 
    2016/06/07 01:45:00 428.278580 
    2016/06/07 02:00:00 428.280920 
    2016/06/07 02:15:00 428.279170 
    2016/06/07 02:30:00 428.279750 
    2016/06/07 02:45:00 428.278000 
    2016/06/07 03:00:00 428.278000 
    2016/06/07 03:15:00 428.281830 
    2016/06/07 03:30:00 428.275920 
    2016/06/07 03:45:00 428.278580 
    2016/06/07 04:00:00 428.278580 
    2016/06/07 04:15:00 428.278330 
    2016/06/07 04:30:00 428.279170 
    2016/06/07 04:45:00 428.278920 
    2016/06/07 05:00:00 428.274750 
    2016/06/07 05:15:00 428.276250 
    2016/06/07 05:30:00 428.276250 
    2016/06/07 05:45:00 428.277420 
    2016/06/07 06:00:00 428.279500 
    2016/06/07 06:15:00 428.279500 
    2016/06/07 06:30:00 428.274500 
    2016/06/07 06:45:00 428.271580 
    2016/06/07 07:00:00 428.271580 
    2016/06/07 07:15:00 428.269830 
    2016/06/07 07:30:00 428.272170 
    2016/06/07 07:45:00 428.270420 
    2016/06/07 08:00:00 428.268080 
    2016/06/07 08:15:00 428.271580 
    2016/06/07 08:30:00 428.264000 
    2016/06/07 08:45:00 428.264580 
    2016/06/07 09:00:00 428.266330 
    2016/06/07 09:15:00 428.262250 
    2016/06/07 09:30:00 428.262250 
    2016/06/07 09:45:00 428.263420 
    2016/06/07 10:00:00 428.264000 
    2016/06/07 10:15:00 428.265170 
    2016/06/07 10:30:00 428.262250 
    2016/06/07 10:45:00 428.266580 
    2016/06/07 11:00:00 428.266000 
    2016/06/07 11:15:00 428.264250 
    2016/06/07 11:30:00 428.264830 
    2016/06/07 11:45:00 428.263670 
    2016/06/07 12:00:00 428.263080 
    2016/06/07 12:15:00 428.266920 
    2016/06/07 12:30:00 428.263080 
    2016/06/07 12:45:00 428.264830 
    2016/06/07 13:00:00 428.267750 
    2016/06/07 13:15:00 428.263670 
    2016/06/07 13:30:00 428.262170 
    2016/06/07 13:45:00 428.262500 
    2016/06/07 14:00:00 428.267670 
    2016/06/07 14:15:00 428.266830 
    2016/06/07 14:30:00 428.275000 
