Time_trim_C,TP_C_meanCAL_1,TP_C_meanCAL_2,TP_C_meanCAL_3,TP_C_meanCAL_4,TP_C_meanCAL_5,TP_C_meanCAL_6
31-May-2016 22:20:00,13.31142,14.35733,14.77233,14.88733,14.8865,14.28092
31-May-2016 22:30:00,13.31142,14.35733,14.74233,14.88733,14.8865,14.28092
31-May-2016 22:40:00,13.34142,14.35733,14.71233,14.88733,14.8565,14.25092
31-May-2016 22:50:00,13.31142,14.3306633333333,14.71233,14.88733,14.8865,14.22092
31-May-2016 23:00:00,13.31142,14.3306633333333,14.71233,14.85733,14.8565,14.19092
31-May-2016 23:10:00,13.34142,14.3306633333333,14.71233,14.85733,14.7965,14.19092
31-May-2016 23:20:00,13.34142,14.3306633333333,14.71233,14.79733,14.7965,14.19092
31-May-2016 23:30:00,13.31142,14.3306633333333,14.71233,14.79733,14.7965,14.19092
31-May-2016 23:40:00,13.31142,14.3306633333333,14.71233,14.79733,14.7965,14.10092
31-May-2016 23:50:00,13.31142,14.3039966666667,14.71233,14.79733,14.7665,14.10092
01-Jun-2016 00:00:00,13.31142,14.3039966666667,14.6856633333333,14.79733,14.7065,14.10092
01-Jun-2016 00:10:00,13.31142,14.27733,14.6856633333333,14.76733,14.7065,14.10092
01-Jun-2016 00:20:00,13.31142,14.27733,14.6856633333333,14.76733,14.7065,14.0742533333333
01-Jun-2016 00:30:00,13.31142,14.27733,14.6856633333333,14.73733,14.7065,14.0475866666667
01-Jun-2016 00:40:00,13.31142,14.27733,14.6589966666667,14.70733,14.7065,14.02092
01-Jun-2016 00:50:00,13.31142,14.27733,14.63233,14.70733,14.6798333333333,14.02092
01-Jun-2016 01:00:00,13.31142,14.27733,14.63233,14.70733,14.6798333333333,14.02092
01-Jun-2016 01:10:00,13.31142,14.27733,14.63233,14.70733,14.6265,14.02092
01-Jun-2016 01:20:00,13.31142,14.27733,14.63233,14.70733,14.6265,13.99092
01-Jun-2016 01:30:00,13.28142,14.27733,14.63233,14.6806633333333,14.6265,13.93092
01-Jun-2016 01:40:00,13.31142,14.27733,14.63233,14.70733,14.6265,13.93092
01-Jun-2016 01:50:00,13.31142,14.24733,14.63233,14.6806633333333,14.5965,13.93092
01-Jun-2016 02:00:00,13.31142,14.24733,14.60233,14.62733,14.5665,13.93092
01-Jun-2016 02:10:00,13.28142,14.24733,14.60233,14.62733,14.5365,13.90092
01-Jun-2016 02:20:00,13.31142,14.24733,14.57233,14.62733,14.5365,13.87092
01-Jun-2016 02:30:00,13.31142,14.24733,14.60233,14.62733,14.5365,13.84092
01-Jun-2016 02:40:00,13.28142,14.24733,14.54233,14.62733,14.5365,13.84092
01-Jun-2016 02:50:00,13.28142,14.24733,14.54233,14.62733,14.5065,13.84092
01-Jun-2016 03:00:00,13.31142,14.21733,14.54233,14.59733,14.5065,13.84092
01-Jun-2016 03:10:00,13.31142,14.18733,14.54233,14.56733,14.4765,13.84092
01-Jun-2016 03:20:00,13.31142,14.18733,14.54233,14.56733,14.4465,13.7875866666667
01-Jun-2016 03:30:00,13.31142,14.18733,14.54233,14.53733,14.4465,13.76092
01-Jun-2016 03:40:00,13.31142,14.18733,14.54233,14.53733,14.4465,13.76092
01-Jun-2016 03:50:00,13.31142,14.18733,14.54233,14.53733,14.4465,13.76092
01-Jun-2016 04:00:00,13.28142,14.18733,14.54233,14.53733,14.4165,13.76092
01-Jun-2016 04:10:00,13.28142,14.18733,14.48233,14.53733,14.3865,13.76092
01-Jun-2016 04:20:00,13.31142,14.15733,14.51233,14.50733,14.3865,13.76092
01-Jun-2016 04:30:00,13.28142,14.18733,14.45233,14.50733,14.3565,13.73092
01-Jun-2016 04:40:00,13.28142,14.18733,14.45233,14.50733,14.3565,13.73092
01-Jun-2016 04:50:00,13.28142,14.15733,14.45233,14.44733,14.3565,13.70092
01-Jun-2016 05:00:00,13.28142,14.15733,14.45233,14.44733,14.3565,13.67092
01-Jun-2016 05:10:00,13.28142,14.15733,14.45233,14.44733,14.3565,13.67092
01-Jun-2016 05:20:00,13.28142,14.15733,14.45233,14.44733,14.3298333333333,13.67092
01-Jun-2016 05:30:00,13.28142,14.15733,14.45233,14.44733,14.3298333333333,13.67092
01-Jun-2016 05:40:00,13.28142,14.12733,14.42233,14.44733,14.2765,13.64092
01-Jun-2016 05:50:00,13.28142,14.09733,14.42233,14.44733,14.2765,13.67092
01-Jun-2016 06:00:00,13.28142,14.09733,14.42233,14.41733,14.2765,13.67092
01-Jun-2016 06:10:00,13.28142,14.09733,14.39233,14.41733,14.2765,13.67092
01-Jun-2016 06:20:00,13.28142,14.09733,14.36233,14.35733,14.2765,13.61092
01-Jun-2016 06:30:00,13.28142,14.09733,14.36233,14.35733,14.2765,13.64092
01-Jun-2016 06:40:00,13.28142,14.09733,14.36233,14.35733,14.2465,13.64092
01-Jun-2016 06:50:00,13.28142,14.09733,14.36233,14.35733,14.2465,13.64092
01-Jun-2016 07:00:00,13.28142,14.09733,14.36233,14.35733,14.2165,13.67092
01-Jun-2016 07:10:00,13.25142,14.09733,14.36233,14.35733,14.1865,13.64092
01-Jun-2016 07:20:00,13.28142,14.09733,14.36233,14.35733,14.1865,13.58092
01-Jun-2016 07:30:00,13.28142,14.0706633333333,14.36233,14.3306633333333,14.1865,13.64092
01-Jun-2016 07:40:00,13.28142,14.0706633333333,14.36233,14.3039966666667,14.1865,13.73092
01-Jun-2016 07:50:00,13.25142,14.0706633333333,14.36233,14.27733,14.1865,13.73092
01-Jun-2016 08:00:00,13.22142,14.0706633333333,14.36233,14.3039966666667,14.1865,13.76092
01-Jun-2016 08:10:00,13.22142,14.0706633333333,14.3356633333333,14.27733,14.1865,13.7875866666667
01-Jun-2016 08:20:00,13.22142,14.0706633333333,14.3089966666667,14.27733,14.1865,13.93092
01-Jun-2016 08:30:00,13.25142,14.0439966666667,14.28233,14.27733,14.1865,13.93092
01-Jun-2016 08:40:00,13.28142,14.0439966666667,14.28233,14.27733,14.1865,13.96092
01-Jun-2016 08:50:00,13.25142,14.01733,14.28233,14.27733,14.1865,13.96092
01-Jun-2016 09:00:00,13.22142,14.01733,14.28233,14.24733,14.1865,14.02092
01-Jun-2016 09:10:00,13.22142,14.01733,14.25233,14.27733,14.1865,14.02092
01-Jun-2016 09:20:00,13.22142,14.01733,14.28233,14.21733,14.1865,14.10092
01-Jun-2016 09:30:00,13.22142,14.01733,14.28233,14.24733,14.2165,14.10092
01-Jun-2016 09:40:00,13.22142,14.01733,14.25233,14.24733,14.2465,14.16092
01-Jun-2016 09:50:00,13.22142,14.01733,14.28233,14.21733,14.2465,14.16092
01-Jun-2016 10:00:00,13.22142,14.01733,14.25233,14.21733,14.2765,14.19092
01-Jun-2016 10:10:00,13.22142,14.01733,14.25233,14.18733,14.2765,14.36092
01-Jun-2016 10:20:00,13.22142,13.98733,14.22233,14.18733,14.2765,14.60092
01-Jun-2016 10:30:00,13.22142,13.98733,14.19233,14.18733,14.2765,14.77092
01-Jun-2016 10:40:00,13.22142,13.98733,14.19233,14.15733,14.3031666666667,14.83092
01-Jun-2016 10:50:00,13.22142,13.98733,14.19233,14.18733,14.3565,14.97092
01-Jun-2016 11:00:00,13.22142,13.95733,14.19233,14.18733,14.3565,15.23092
01-Jun-2016 11:10:00,13.1947533333333,13.98733,14.19233,14.18733,14.4165,15.40092
01-Jun-2016 11:20:00,13.22142,13.95733,14.16233,14.18733,14.4465,15.58092
01-Jun-2016 11:30:00,13.22142,13.92733,14.19233,14.18733,14.5065,15.46092
01-Jun-2016 11:40:00,13.22142,13.92733,14.19233,14.18733,14.5365,15.3742533333333
01-Jun-2016 11:50:00,13.22142,13.92733,14.19233,14.18733,14.5965,15.66092
01-Jun-2016 12:00:00,13.22142,13.92733,14.19233,14.21733,14.6265,15.92092
01-Jun-2016 12:10:00,13.1947533333333,13.92733,14.19233,14.24733,14.7065,16.18092
01-Jun-2016 12:20:00,13.22142,13.92733,14.19233,14.24733,14.7065,16.18092
01-Jun-2016 12:30:00,13.22142,13.92733,14.19233,14.27733,14.7965,16.27092
01-Jun-2016 12:40:00,13.1947533333333,13.92733,14.16233,14.27733,14.8565,16.3242533333333
01-Jun-2016 12:50:00,13.22142,13.92733,14.19233,14.27733,14.8865,16.35092
01-Jun-2016 13:00:00,13.1947533333333,13.92733,14.19233,14.27733,14.9665,16.53092
01-Jun-2016 13:10:00,13.1947533333333,13.89733,14.16233,14.27733,14.9665,16.61092
01-Jun-2016 13:20:00,13.1947533333333,13.89733,14.16233,14.3039966666667,15.0565,16.61092
01-Jun-2016 13:30:00,13.22142,13.89733,14.16233,14.3306633333333,15.1098333333333,16.67092
01-Jun-2016 13:40:00,13.22142,13.89733,14.16233,14.35733,15.1365,16.61092
01-Jun-2016 13:50:00,13.1947533333333,13.92733,14.16233,14.35733,15.1965,16.53092
01-Jun-2016 14:00:00,13.1947533333333,13.89733,14.19233,14.35733,15.2265,16.61092
01-Jun-2016 14:10:00,13.1947533333333,13.89733,14.16233,14.35733,15.2865,16.53092
01-Jun-2016 14:20:00,13.1947533333333,13.89733,14.16233,14.41733,15.3165,16.7275866666667
01-Jun-2016 14:30:00,13.1947533333333,13.89733,14.19233,14.44733,15.3165,16.96092
01-Jun-2016 14:40:00,13.1947533333333,13.86733,14.19233,14.44733,15.3965,16.84092
01-Jun-2016 14:50:00,13.1947533333333,13.89733,14.19233,14.44733,15.3965,16.7275866666667
01-Jun-2016 15:00:00,13.1947533333333,13.89733,14.19233,14.47733,15.4565,16.70092
01-Jun-2016 15:10:00,13.1947533333333,13.83733,14.19233,14.50733,15.4865,16.87092
01-Jun-2016 15:20:00,13.22142,13.83733,14.19233,14.53733,15.4865,17.13092
01-Jun-2016 15:30:00,13.1680866666667,13.83733,14.19233,14.53733,15.4865,17.30092
01-Jun-2016 15:40:00,13.14142,13.83733,14.19233,14.53733,15.5765,17.39092
01-Jun-2016 15:50:00,13.1680866666667,13.83733,14.19233,14.53733,15.6031666666667,17.30092
01-Jun-2016 16:00:00,13.14142,13.83733,14.19233,14.56733,15.6565,17.22092
01-Jun-2016 16:10:00,13.14142,13.83733,14.19233,14.62733,15.6865,17.13092
01-Jun-2016 16:20:00,13.14142,13.83733,14.19233,14.62733,15.7465,17.13092
01-Jun-2016 16:30:00,13.14142,13.83733,14.19233,14.62733,15.7465,17.04092
01-Jun-2016 16:40:00,13.1680866666667,13.83733,14.19233,14.62733,15.7465,17.13092
01-Jun-2016 16:50:00,13.14142,13.83733,14.19233,14.6806633333333,15.8065,17.04092
01-Jun-2016 17:00:00,13.14142,13.83733,14.19233,14.70733,15.8365,17.10092
01-Jun-2016 17:10:00,13.14142,13.83733,14.22233,14.70733,15.8365,17.22092
01-Jun-2016 17:20:00,13.14142,13.83733,14.25233,14.70733,15.8365,17.22092
01-Jun-2016 17:30:00,13.14142,13.83733,14.25233,14.70733,15.8631666666667,17.13092
