----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/04 10:15:00 428.621670 
    2016/06/04 10:30:00 428.619920 
    2016/06/04 10:45:00 428.621670 
    2016/06/04 11:00:00 428.620170 
    2016/06/04 11:15:00 428.620170 
    2016/06/04 11:30:00 428.620170 
    2016/06/04 11:45:00 428.618420 
    2016/06/04 12:00:00 428.619920 
    2016/06/04 12:15:00 428.616420 
    2016/06/04 12:30:00 428.613170 
    2016/06/04 12:45:00 428.614670 
    2016/06/04 13:00:00 428.614670 
    2016/06/04 13:15:00 428.611420 
    2016/06/04 13:30:00 428.612920 
    2016/06/04 13:45:00 428.613170 
    2016/06/04 14:00:00 428.613170 
    2016/06/04 14:15:00 428.613170 
    2016/06/04 14:30:00 428.612340 
    2016/06/04 14:45:00 428.612340 
    2016/06/04 15:00:00 428.610840 
    2016/06/04 15:15:00 428.607340 
    2016/06/04 15:30:00 428.607340 
    2016/06/04 15:45:00 428.608840 
    2016/06/04 16:00:00 428.609090 
    2016/06/04 16:15:00 428.609340 
    2016/06/04 16:30:00 428.609090 
    2016/06/04 16:45:00 428.609090 
    2016/06/04 17:00:00 428.610590 
    2016/06/04 17:15:00 428.612590 
    2016/06/04 17:30:00 428.610840 
    2016/06/04 17:45:00 428.612590 
    2016/06/04 18:00:00 428.610590 
    2016/06/04 18:15:00 428.614090 
    2016/06/04 18:30:00 428.610590 
    2016/06/04 18:45:00 428.612340 
    2016/06/04 19:00:00 428.612590 
    2016/06/04 19:15:00 428.610840 
    2016/06/04 19:30:00 428.610840 
    2016/06/04 19:45:00 428.610590 
    2016/06/04 20:00:00 428.610590 
    2016/06/04 20:15:00 428.612590 
    2016/06/04 20:30:00 428.612340 
    2016/06/04 20:45:00 428.612590 
    2016/06/04 21:00:00 428.612340 
    2016/06/04 21:15:00 428.612590 
    2016/06/04 21:30:00 428.612340 
    2016/06/04 21:45:00 428.612340 
    2016/06/04 22:00:00 428.612340 
    2016/06/04 22:15:00 428.612590 
    2016/06/04 22:30:00 428.612340 
    2016/06/04 22:45:00 428.611750 
    2016/06/04 23:00:00 428.614090 
    2016/06/04 23:15:00 428.613500 
    2016/06/04 23:30:00 428.615250 
    2016/06/04 23:45:00 428.612000 
    2016/06/05 00:00:00 428.613750 
    2016/06/05 00:15:00 428.613500 
    2016/06/05 00:30:00 428.617250 
    2016/06/05 00:45:00 428.613170 
    2016/06/05 01:00:00 428.612920 
    2016/06/05 01:15:00 428.614670 
    2016/06/05 01:30:00 428.614920 
    2016/06/05 01:45:00 428.614340 
    2016/06/05 02:00:00 428.610840 
    2016/06/05 02:15:00 428.612590 
    2016/06/05 02:30:00 428.610250 
    2016/06/05 02:45:00 428.612250 
    2016/06/05 03:00:00 428.612250 
    2016/06/05 03:15:00 428.613750 
    2016/06/05 03:30:00 428.609670 
    2016/06/05 03:45:00 428.611420 
    2016/06/05 04:00:00 428.611420 
    2016/06/05 04:15:00 428.613170 
    2016/06/05 04:30:00 428.611420 
    2016/06/05 04:45:00 428.609090 
    2016/06/05 05:00:00 428.609090 
    2016/06/05 05:15:00 428.613170 
    2016/06/05 05:30:00 428.609670 
    2016/06/05 05:45:00 428.609670 
    2016/06/05 06:00:00 428.611420 
    2016/06/05 06:15:00 428.611420 
    2016/06/05 06:30:00 428.610840 
    2016/06/05 06:45:00 428.609090 
    2016/06/05 07:00:00 428.610840 
    2016/06/05 07:15:00 428.609090 
    2016/06/05 07:30:00 428.605840 
    2016/06/05 07:45:00 428.605000 
    2016/06/05 08:00:00 428.603250 
    2016/06/05 08:15:00 428.603500 
    2016/06/05 08:30:00 428.598250 
    2016/06/05 08:45:00 428.597420 
    2016/06/05 09:00:00 428.599420 
    2016/06/05 09:15:00 428.597670 
    2016/06/05 09:30:00 428.595920 
    2016/06/05 09:45:00 428.595670 
    2016/06/05 10:00:00 428.591840 
    2016/06/05 10:15:00 428.590340 
    2016/06/05 10:30:00 428.590340 
    2016/06/05 10:45:00 428.589500 
    2016/06/05 11:00:00 428.589170 
    2016/06/05 11:15:00 428.591250 
    2016/06/05 11:30:00 428.587420 
    2016/06/05 11:45:00 428.600000 
    2016/06/05 12:00:00 428.618420 
    2016/06/05 12:15:00 428.618920 
    2016/06/05 12:30:00 428.618670 
    2016/06/05 12:45:00 428.612840 
    2016/06/05 13:00:00 428.609590 
    2016/06/05 13:15:00 428.605500 
    2016/06/05 13:30:00 428.605750 
    2016/06/05 13:45:00 428.600170 
    2016/06/05 14:00:00 428.601920 
    2016/06/05 14:15:00 428.600170 
    2016/06/05 14:30:00 428.597840 
    2016/06/05 14:45:00 428.596090 
    2016/06/05 15:00:00 428.597840 
    2016/06/05 15:15:00 428.599590 
    2016/06/05 15:30:00 428.601090 
    2016/06/05 15:45:00 428.603670 
    2016/06/05 16:00:00 428.604590 
    2016/06/05 16:15:00 428.606920 
    2016/06/05 16:30:00 428.607250 
    2016/06/05 16:45:00 428.609000 
    2016/06/05 17:00:00 428.608750 
    2016/06/05 17:15:00 428.606670 
    2016/06/05 17:30:00 428.612250 
    2016/06/05 17:45:00 428.608170 
    2016/06/05 18:00:00 428.606670 
    2016/06/05 18:15:00 428.607340 
    2016/06/05 18:30:00 428.623920 
    2016/06/05 18:45:00 428.623920 
    2016/06/05 19:00:00 428.626250 
    2016/06/05 19:15:00 428.626250 
    2016/06/05 19:30:00 428.623920 
    2016/06/05 19:45:00 428.623920 
    2016/06/05 20:00:00 428.620090 
    2016/06/05 20:15:00 428.622170 
    2016/06/05 20:30:00 428.623670 
    2016/06/05 20:45:00 428.620170 
    2016/06/05 21:00:00 428.616920 
    2016/06/05 21:15:00 428.616590 
    2016/06/05 21:30:00 428.618090 
    2016/06/05 21:45:00 428.616090 
    2016/06/05 22:00:00 428.618090 
    2016/06/05 22:15:00 428.616090 
    2016/06/05 22:30:00 428.612840 
    2016/06/05 22:45:00 428.617840 
    2016/06/05 23:00:00 428.617840 
    2016/06/05 23:15:00 428.616090 
    2016/06/05 23:30:00 428.612250 
    2016/06/05 23:45:00 428.615750 
    2016/06/06 00:00:00 428.615750 
    2016/06/06 00:15:00 428.615500 
    2016/06/06 00:30:00 428.613750 
    2016/06/06 00:45:00 428.613750 
    2016/06/06 01:00:00 428.613750 
    2016/06/06 01:15:00 428.613750 
    2016/06/06 01:30:00 428.611420 
    2016/06/06 01:45:00 428.609670 
    2016/06/06 02:00:00 428.608170 
    2016/06/06 02:15:00 428.612250 
