----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/04 06:15:00 428.185500 
    2016/06/04 06:30:00 428.179920 
    2016/06/04 06:45:00 428.183170 
    2016/06/04 07:00:00 428.184340 
    2016/06/04 07:15:00 428.180250 
    2016/06/04 07:30:00 428.180250 
    2016/06/04 07:45:00 428.182840 
    2016/06/04 08:00:00 428.184340 
    2016/06/04 08:15:00 428.182590 
    2016/06/04 08:30:00 428.180500 
    2016/06/04 08:45:00 428.180500 
    2016/06/04 09:00:00 428.184000 
    2016/06/04 09:15:00 428.180250 
    2016/06/04 09:30:00 428.182590 
    2016/06/04 09:45:00 428.177340 
    2016/06/04 10:00:00 428.176420 
    2016/06/04 10:15:00 428.177920 
    2016/06/04 10:30:00 428.176170 
    2016/06/04 10:45:00 428.177340 
    2016/06/04 11:00:00 428.175840 
    2016/06/04 11:15:00 428.177000 
    2016/06/04 11:30:00 428.181090 
    2016/06/04 11:45:00 428.177000 
    2016/06/04 12:00:00 428.180840 
    2016/06/04 12:15:00 428.179090 
    2016/06/04 12:30:00 428.173500 
    2016/06/04 12:45:00 428.177340 
    2016/06/04 13:00:00 428.178500 
    2016/06/04 13:15:00 428.171750 
    2016/06/04 13:30:00 428.177340 
    2016/06/04 13:45:00 428.173500 
    2016/06/04 14:00:00 428.174670 
    2016/06/04 14:15:00 428.172920 
    2016/06/04 14:30:00 428.172090 
    2016/06/04 14:45:00 428.173840 
    2016/06/04 15:00:00 428.172340 
    2016/06/04 15:15:00 428.170590 
    2016/06/04 15:30:00 428.171170 
    2016/06/04 15:45:00 428.172090 
    2016/06/04 16:00:00 428.168250 
    2016/06/04 16:15:00 428.173170 
    2016/06/04 16:30:00 428.170590 
    2016/06/04 16:45:00 428.165920 
    2016/06/04 17:00:00 428.173840 
    2016/06/04 17:15:00 428.174090 
    2016/06/04 17:30:00 428.172920 
    2016/06/04 17:45:00 428.172340 
    2016/06/04 18:00:00 428.174420 
    2016/06/04 18:15:00 428.171500 
    2016/06/04 18:30:00 428.172090 
    2016/06/04 18:45:00 428.171500 
    2016/06/04 19:00:00 428.175250 
    2016/06/04 19:15:00 428.175250 
    2016/06/04 19:30:00 428.171170 
    2016/06/04 19:45:00 428.173840 
    2016/06/04 20:00:00 428.175590 
    2016/06/04 20:15:00 428.175840 
    2016/06/04 20:30:00 428.177340 
    2016/06/04 20:45:00 428.170590 
    2016/06/04 21:00:00 428.173250 
    2016/06/04 21:15:00 428.172340 
    2016/06/04 21:30:00 428.173250 
    2016/06/04 21:45:00 428.173250 
    2016/06/04 22:00:00 428.175590 
    2016/06/04 22:15:00 428.175250 
    2016/06/04 22:30:00 428.173250 
