----------------------------------------------
PZ-Bank TotHead [m]: 
    2016/06/02 19:15:00 429.013670 
    2016/06/02 19:30:00 429.011920 
    2016/06/02 19:45:00 429.010170 
    2016/06/02 20:00:00 429.013670 
    2016/06/02 20:15:00 429.015670 
    2016/06/02 20:30:00 429.013670 
    2016/06/02 20:45:00 429.017170 
    2016/06/02 21:00:00 429.015420 
    2016/06/02 21:15:00 429.017170 
    2016/06/02 21:30:00 429.018670 
    2016/06/02 21:45:00 429.017170 
    2016/06/02 22:00:00 429.015420 
    2016/06/02 22:15:00 429.013420 
    2016/06/02 22:30:00 429.015420 
    2016/06/02 22:45:00 429.013670 
    2016/06/02 23:00:00 429.015420 
    2016/06/02 23:15:00 429.011920 
    2016/06/02 23:30:00 429.013670 
    2016/06/02 23:45:00 429.015170 
    2016/06/03 00:00:00 429.013670 
    2016/06/03 00:15:00 429.016920 
    2016/06/03 00:30:00 429.015170 
    2016/06/03 00:45:00 429.015170 
    2016/06/03 01:00:00 429.015420 
    2016/06/03 01:15:00 429.013670 
    2016/06/03 01:30:00 429.015420 
    2016/06/03 01:45:00 429.013670 
    2016/06/03 02:00:00 429.016920 
    2016/06/03 02:15:00 429.013420 
    2016/06/03 02:30:00 429.013670 
    2016/06/03 02:45:00 429.013670 
    2016/06/03 03:00:00 429.013670 
    2016/06/03 03:15:00 429.015420 
    2016/06/03 03:30:00 429.015420 
    2016/06/03 03:45:00 429.015420 
    2016/06/03 04:00:00 429.014840 
    2016/06/03 04:15:00 429.013090 
    2016/06/03 04:30:00 429.011090 
    2016/06/03 04:45:00 429.013090 
    2016/06/03 05:00:00 429.012840 
    2016/06/03 05:15:00 429.011920 
    2016/06/03 05:30:00 429.009340 
    2016/06/03 05:45:00 429.011090 
    2016/06/03 06:00:00 429.009590 
    2016/06/03 06:15:00 429.009590 
    2016/06/03 06:30:00 429.007840 
    2016/06/03 06:45:00 429.004340 
    2016/06/03 07:00:00 429.006090 
    2016/06/03 07:15:00 429.004340 
    2016/06/03 07:30:00 429.002590 
    2016/06/03 07:45:00 428.999090 
    2016/06/03 08:00:00 429.000840 
    2016/06/03 08:15:00 428.997340 
    2016/06/03 08:30:00 429.000840 
    2016/06/03 08:45:00 428.999670 
    2016/06/03 09:00:00 428.997340 
    2016/06/03 09:15:00 428.999090 
    2016/06/03 09:30:00 428.997590 
    2016/06/03 09:45:00 428.999090 
    2016/06/03 10:00:00 428.999340 
    2016/06/03 10:15:00 428.997590 
    2016/06/03 10:30:00 429.000840 
    2016/06/03 10:45:00 428.998500 
    2016/06/03 11:00:00 429.000500 
    2016/06/03 11:15:00 428.998750 
    2016/06/03 11:30:00 428.998750 
    2016/06/03 11:45:00 429.000250 
    2016/06/03 12:00:00 428.998750 
    2016/06/03 12:15:00 428.998750 
    2016/06/03 12:30:00 429.000500 
    2016/06/03 12:45:00 429.000250 
    2016/06/03 13:00:00 428.998750 
    2016/06/03 13:15:00 428.998750 
    2016/06/03 13:30:00 428.998500 
    2016/06/03 13:45:00 428.998750 
    2016/06/03 14:00:00 428.998750 
    2016/06/03 14:15:00 429.002000 
    2016/06/03 14:30:00 429.002000 
    2016/06/03 14:45:00 429.002000 
    2016/06/03 15:00:00 428.998750 
    2016/06/03 15:15:00 428.997920 
    2016/06/03 15:30:00 428.998170 
    2016/06/03 15:45:00 428.999920 
    2016/06/03 16:00:00 429.003420 
    2016/06/03 16:15:00 429.001090 
    2016/06/03 16:30:00 429.001090 
    2016/06/03 16:45:00 429.001090 
    2016/06/03 17:00:00 429.001090 
    2016/06/03 17:15:00 429.001090 
    2016/06/03 17:30:00 429.006090 
    2016/06/03 17:45:00 429.006340 
    2016/06/03 18:00:00 429.011340 
    2016/06/03 18:15:00 429.012420 
    2016/06/03 18:30:00 429.017420 
    2016/06/03 18:45:00 429.021250 
    2016/06/03 19:00:00 429.024750 
    2016/06/03 19:15:00 429.032000 
    2016/06/03 19:30:00 429.035840 
    2016/06/03 19:45:00 429.037840 
    2016/06/03 20:00:00 429.041090 
    2016/06/03 20:15:00 429.041340 
    2016/06/03 20:30:00 429.044590 
    2016/06/03 20:45:00 429.043090 
    2016/06/03 21:00:00 429.044840 
    2016/06/03 21:15:00 429.049840 
    2016/06/03 21:30:00 429.046590 
    2016/06/03 21:45:00 429.044840 
    2016/06/03 22:00:00 429.046090 
    2016/06/03 22:15:00 429.049840 
    2016/06/03 22:30:00 429.051590 
    2016/06/03 22:45:00 429.048340 
    2016/06/03 23:00:00 429.053340 
    2016/06/03 23:15:00 429.051590 
    2016/06/03 23:30:00 429.051590 
    2016/06/03 23:45:00 429.049250 
    2016/06/04 00:00:00 429.049500 
    2016/06/04 00:15:00 429.049500 
    2016/06/04 00:30:00 429.049000 
    2016/06/04 00:45:00 429.049500 
    2016/06/04 01:00:00 429.049250 
    2016/06/04 01:15:00 429.045750 
    2016/06/04 01:30:00 429.045420 
    2016/06/04 01:45:00 429.045170 
    2016/06/04 02:00:00 429.045420 
    2016/06/04 02:15:00 429.047750 
    2016/06/04 02:30:00 429.047500 
    2016/06/04 02:45:00 429.046000 
    2016/06/04 03:00:00 429.047750 
    2016/06/04 03:15:00 429.049250 
    2016/06/04 03:30:00 429.051000 
    2016/06/04 03:45:00 429.049000 
    2016/06/04 04:00:00 429.052750 
    2016/06/04 04:15:00 429.052750 
    2016/06/04 04:30:00 429.052750 
    2016/06/04 04:45:00 429.048920 
    2016/06/04 05:00:00 429.052170 
    2016/06/04 05:15:00 429.050670 
    2016/06/04 05:30:00 429.050420 
    2016/06/04 05:45:00 429.048670 
    2016/06/04 06:00:00 429.054500 
    2016/06/04 06:15:00 429.054500 
    2016/06/04 06:30:00 429.051250 
    2016/06/04 06:45:00 429.052750 
    2016/06/04 07:00:00 429.054500 
    2016/06/04 07:15:00 429.054500 
    2016/06/04 07:30:00 429.058000 
    2016/06/04 07:45:00 429.058250 
    2016/06/04 08:00:00 429.056840 
    2016/06/04 08:15:00 429.058590 
    2016/06/04 08:30:00 429.057090 
    2016/06/04 08:45:00 429.054750 
    2016/06/04 09:00:00 429.053000 
    2016/06/04 09:15:00 429.052750 
    2016/06/04 09:30:00 429.051000 
    2016/06/04 09:45:00 429.054500 
    2016/06/04 10:00:00 429.049500 
    2016/06/04 10:15:00 429.051000 
