----------------------------------------------
PZ-In TotHead [m]: 
    2016/06/03 19:45:00 428.449917 
    2016/06/03 20:00:00 428.451417 
    2016/06/03 20:15:00 428.450750 
    2016/06/03 20:30:00 428.449000 
    2016/06/03 20:45:00 428.449583 
    2016/06/03 21:00:00 428.450750 
    2016/06/03 21:15:00 428.451917 
    2016/06/03 21:30:00 428.453500 
    2016/06/03 21:45:00 428.457250 
    2016/06/03 22:00:00 428.457250 
    2016/06/03 22:15:00 428.455833 
    2016/06/03 22:30:00 428.459750 
    2016/06/03 22:45:00 428.459167 
    2016/06/03 23:00:00 428.458500 
    2016/06/03 23:15:00 428.452250 
    2016/06/03 23:30:00 428.450417 
    2016/06/03 23:45:00 428.448667 
    2016/06/04 00:00:00 428.446500 
    2016/06/04 00:15:00 428.446333 
    2016/06/04 00:30:00 428.445167 
    2016/06/04 00:45:00 428.443000 
    2016/06/04 01:00:00 428.444167 
    2016/06/04 01:15:00 428.444250 
    2016/06/04 01:30:00 428.441500 
    2016/06/04 01:45:00 428.439500 
    2016/06/04 02:00:00 428.438917 
    2016/06/04 02:15:00 428.435000 
    2016/06/04 02:30:00 428.438750 
    2016/06/04 02:45:00 428.438750 
    2016/06/04 03:00:00 428.438750 
    2016/06/04 03:15:00 428.439583 
    2016/06/04 03:30:00 428.438417 
    2016/06/04 03:45:00 428.439000 
    2016/06/04 04:00:00 428.439000 
    2016/06/04 04:15:00 428.437250 
    2016/06/04 04:30:00 428.438000 
    2016/06/04 04:45:00 428.432917 
    2016/06/04 05:00:00 428.430583 
    2016/06/04 05:15:00 428.436250 
    2016/06/04 05:30:00 428.432750 
    2016/06/04 05:45:00 428.431000 
    2016/06/04 06:00:00 428.431000 
    2016/06/04 06:15:00 428.435333 
    2016/06/04 06:30:00 428.434583 
    2016/06/04 06:45:00 428.436750 
    2016/06/04 07:00:00 428.442667 
    2016/06/04 07:15:00 428.441833 
    2016/06/04 07:30:00 428.442000 
    2016/06/04 07:45:00 428.444000 
    2016/06/04 08:00:00 428.445083 
    2016/06/04 08:15:00 428.447250 
    2016/06/04 08:30:00 428.445250 
    2016/06/04 08:45:00 428.445917 
    2016/06/04 09:00:00 428.445500 
    2016/06/04 09:15:00 428.445500 
    2016/06/04 09:30:00 428.446083 
    2016/06/04 09:45:00 428.449000 
    2016/06/04 10:00:00 428.451167 
    2016/06/04 10:15:00 428.450000 
    2016/06/04 10:30:00 428.449000 
    2016/06/04 10:45:00 428.449000 
    2016/06/04 11:00:00 428.449000 
    2016/06/04 11:15:00 428.450750 
    2016/06/04 11:30:00 428.453750 
    2016/06/04 11:45:00 428.451167 
    2016/06/04 12:00:00 428.449000 
    2016/06/04 12:15:00 428.446083 
    2016/06/04 12:30:00 428.443417 
    2016/06/04 12:45:00 428.445250 
    2016/06/04 13:00:00 428.442250 
    2016/06/04 13:15:00 428.441583 
    2016/06/04 13:30:00 428.445500 
    2016/06/04 13:45:00 428.444917 
    2016/06/04 14:00:00 428.446583 
    2016/06/04 14:15:00 428.447750 
    2016/06/04 14:30:00 428.448500 
    2016/06/04 14:45:00 428.446833 
    2016/06/04 15:00:00 428.447000 
    2016/06/04 15:15:00 428.449167 
    2016/06/04 15:30:00 428.448917 
    2016/06/04 15:45:00 428.450250 
    2016/06/04 16:00:00 428.453750 
    2016/06/04 16:15:00 428.456667 
    2016/06/04 16:30:00 428.459000 
    2016/06/04 16:45:00 428.461333 
    2016/06/04 17:00:00 428.465083 
    2016/06/04 17:15:00 428.468000 
    2016/06/04 17:30:00 428.464250 
    2016/06/04 17:45:00 428.464250 
    2016/06/04 18:00:00 428.463500 
    2016/06/04 18:15:00 428.462333 
    2016/06/04 18:30:00 428.463417 
    2016/06/04 18:45:00 428.466750 
    2016/06/04 19:00:00 428.463750 
    2016/06/04 19:15:00 428.464333 
    2016/06/04 19:30:00 428.468500 
    2016/06/04 19:45:00 428.467667 
    2016/06/04 20:00:00 428.470500 
    2016/06/04 20:15:00 428.469500 
    2016/06/04 20:30:00 428.466417 
    2016/06/04 20:45:00 428.466333 
    2016/06/04 21:00:00 428.467500 
