----------------------------------------------
PZ-CC TotHead [m]: 
    2016/06/02 22:00:00 428.574500 
    2016/06/02 22:15:00 428.573250 
    2016/06/02 22:30:00 428.577250 
    2016/06/02 22:45:00 428.575500 
    2016/06/02 23:00:00 428.573750 
    2016/06/02 23:15:00 428.573750 
    2016/06/02 23:30:00 428.572000 
    2016/06/02 23:45:00 428.573500 
    2016/06/03 00:00:00 428.572250 
    2016/06/03 00:15:00 428.575500 
    2016/06/03 00:30:00 428.573750 
    2016/06/03 00:45:00 428.571750 
    2016/06/03 01:00:00 428.572000 
    2016/06/03 01:15:00 428.572000 
    2016/06/03 01:30:00 428.573750 
    2016/06/03 01:45:00 428.570000 
    2016/06/03 02:00:00 428.571250 
    2016/06/03 02:15:00 428.569750 
    2016/06/03 02:30:00 428.569750 
    2016/06/03 02:45:00 428.569750 
    2016/06/03 03:00:00 428.567750 
    2016/06/03 03:15:00 428.569500 
    2016/06/03 03:30:00 428.569500 
    2016/06/03 03:45:00 428.569500 
    2016/06/03 04:00:00 428.567500 
    2016/06/03 04:15:00 428.569250 
    2016/06/03 04:30:00 428.565500 
    2016/06/03 04:45:00 428.569500 
    2016/06/03 05:00:00 428.567500 
    2016/06/03 05:15:00 428.567000 
    2016/06/03 05:30:00 428.566750 
    2016/06/03 05:45:00 428.566500 
    2016/06/03 06:00:00 428.567000 
    2016/06/03 06:15:00 428.566000 
    2016/06/03 06:30:00 428.562500 
    2016/06/03 06:45:00 428.560500 
    2016/06/03 07:00:00 428.560500 
    2016/06/03 07:15:00 428.560750 
    2016/06/03 07:30:00 428.559000 
    2016/06/03 07:45:00 428.557000 
    2016/06/03 08:00:00 428.555000 
    2016/06/03 08:15:00 428.553500 
    2016/06/03 08:30:00 428.555250 
    2016/06/03 08:45:00 428.551750 
    2016/06/03 09:00:00 428.551750 
    2016/06/03 09:15:00 428.553500 
    2016/06/03 09:30:00 428.550000 
    2016/06/03 09:45:00 428.553250 
    2016/06/03 10:00:00 428.555250 
    2016/06/03 10:15:00 428.551750 
    2016/06/03 10:30:00 428.555000 
    2016/06/03 10:45:00 428.555000 
    2016/06/03 11:00:00 428.555000 
    2016/06/03 11:15:00 428.555000 
    2016/06/03 11:30:00 428.555000 
    2016/06/03 11:45:00 428.556500 
    2016/06/03 12:00:00 428.555000 
    2016/06/03 12:15:00 428.555000 
    2016/06/03 12:30:00 428.555000 
    2016/06/03 12:45:00 428.556500 
    2016/06/03 13:00:00 428.555000 
    2016/06/03 13:15:00 428.556000 
    2016/06/03 13:30:00 428.557750 
    2016/06/03 13:45:00 428.559750 
    2016/06/03 14:00:00 428.557000 
    2016/06/03 14:15:00 428.560250 
    2016/06/03 14:30:00 428.560000 
    2016/06/03 14:45:00 428.558250 
    2016/06/03 15:00:00 428.556500 
    2016/06/03 15:15:00 428.558000 
    2016/06/03 15:30:00 428.561000 
    2016/06/03 15:45:00 428.562500 
    2016/06/03 16:00:00 428.562250 
    2016/06/03 16:15:00 428.560000 
    2016/06/03 16:30:00 428.559000 
    2016/06/03 16:45:00 428.557250 
    2016/06/03 17:00:00 428.559000 
    2016/06/03 17:15:00 428.559250 
    2016/06/03 17:30:00 428.563250 
    2016/06/03 17:45:00 428.561750 
    2016/06/03 18:00:00 428.568750 
    2016/06/03 18:15:00 428.567500 
    2016/06/03 18:30:00 428.569000 
    2016/06/03 18:45:00 428.570750 
    2016/06/03 19:00:00 428.576250 
    2016/06/03 19:15:00 428.582000 
    2016/06/03 19:30:00 428.583500 
    2016/06/03 19:45:00 428.583750 
    2016/06/03 20:00:00 428.587250 
    2016/06/03 20:15:00 428.587250 
    2016/06/03 20:30:00 428.588750 
    2016/06/03 20:45:00 428.589000 
    2016/06/03 21:00:00 428.589000 
    2016/06/03 21:15:00 428.592250 
    2016/06/03 21:30:00 428.590000 
    2016/06/03 21:45:00 428.592000 
    2016/06/03 22:00:00 428.593250 
    2016/06/03 22:15:00 428.595000 
    2016/06/03 22:30:00 428.597750 
    2016/06/03 22:45:00 428.594500 
    2016/06/03 23:00:00 428.597750 
    2016/06/03 23:15:00 428.594000 
    2016/06/03 23:30:00 428.597250 
    2016/06/03 23:45:00 428.595500 
    2016/06/04 00:00:00 428.595500 
    2016/06/04 00:15:00 428.595750 
    2016/06/04 00:30:00 428.598750 
    2016/06/04 00:45:00 428.597250 
    2016/06/04 01:00:00 428.598750 
    2016/06/04 01:15:00 428.597000 
    2016/06/04 01:30:00 428.597250 
    2016/06/04 01:45:00 428.595000 
    2016/06/04 02:00:00 428.598750 
    2016/06/04 02:15:00 428.597750 
    2016/06/04 02:30:00 428.601250 
    2016/06/04 02:45:00 428.599750 
    2016/06/04 03:00:00 428.599750 
    2016/06/04 03:15:00 428.603250 
    2016/06/04 03:30:00 428.605000 
    2016/06/04 03:45:00 428.604750 
    2016/06/04 04:00:00 428.606750 
    2016/06/04 04:15:00 428.606750 
    2016/06/04 04:30:00 428.607500 
    2016/06/04 04:45:00 428.605000 
    2016/06/04 05:00:00 428.606500 
    2016/06/04 05:15:00 428.609500 
    2016/06/04 05:30:00 428.609250 
    2016/06/04 05:45:00 428.607500 
    2016/06/04 06:00:00 428.609250 
    2016/06/04 06:15:00 428.611250 
    2016/06/04 06:30:00 428.606000 
    2016/06/04 06:45:00 428.607750 
    2016/06/04 07:00:00 428.611500 
    2016/06/04 07:15:00 428.607750 
    2016/06/04 07:30:00 428.607750 
    2016/06/04 07:45:00 428.610000 
    2016/06/04 08:00:00 428.609750 
    2016/06/04 08:15:00 428.609750 
    2016/06/04 08:30:00 428.608000 
    2016/06/04 08:45:00 428.608000 
    2016/06/04 09:00:00 428.606250 
    2016/06/04 09:15:00 428.606000 
    2016/06/04 09:30:00 428.606000 
    2016/06/04 09:45:00 428.607750 
    2016/06/04 10:00:00 428.606250 
    2016/06/04 10:15:00 428.606000 
    2016/06/04 10:30:00 428.604250 
    2016/06/04 10:45:00 428.604250 
    2016/06/04 11:00:00 428.604500 
    2016/06/04 11:15:00 428.604500 
    2016/06/04 11:30:00 428.606500 
    2016/06/04 11:45:00 428.604500 
