----------------------------------------------
SG-1_1st_Position TotHead [m]: 
    2016/06/02 18:30:00 428.483420 
    2016/06/02 18:45:00 428.485500 
    2016/06/02 19:00:00 428.486670 
    2016/06/02 19:15:00 428.486090 
    2016/06/02 19:30:00 428.483750 
    2016/06/02 19:45:00 428.483750 
    2016/06/02 20:00:00 428.484920 
    2016/06/02 20:15:00 428.486920 
    2016/06/02 20:30:00 428.484340 
    2016/06/02 20:45:00 428.488420 
    2016/06/02 21:00:00 428.488420 
    2016/06/02 21:15:00 428.488420 
    2016/06/02 21:30:00 428.488750 
    2016/06/02 21:45:00 428.487840 
    2016/06/02 22:00:00 428.487250 
    2016/06/02 22:15:00 428.486420 
    2016/06/02 22:30:00 428.489000 
    2016/06/02 22:45:00 428.484340 
    2016/06/02 23:00:00 428.488420 
    2016/06/02 23:15:00 428.485500 
    2016/06/02 23:30:00 428.483170 
    2016/06/02 23:45:00 428.485250 
    2016/06/03 00:00:00 428.484340 
    2016/06/03 00:15:00 428.482920 
    2016/06/03 00:30:00 428.481170 
    2016/06/03 00:45:00 428.484670 
    2016/06/03 01:00:00 428.481420 
    2016/06/03 01:15:00 428.479670 
    2016/06/03 01:30:00 428.482000 
    2016/06/03 01:45:00 428.476750 
    2016/06/03 02:00:00 428.480000 
    2016/06/03 02:15:00 428.478840 
    2016/06/03 02:30:00 428.478500 
    2016/06/03 02:45:00 428.478500 
    2016/06/03 03:00:00 428.480250 
    2016/06/03 03:15:00 428.479090 
    2016/06/03 03:30:00 428.477340 
    2016/06/03 03:45:00 428.479670 
    2016/06/03 04:00:00 428.474420 
    2016/06/03 04:15:00 428.477920 
    2016/06/03 04:30:00 428.470090 
    2016/06/03 04:45:00 428.476750 
    2016/06/03 05:00:00 428.474750 
    2016/06/03 05:15:00 428.471500 
    2016/06/03 05:30:00 428.473590 
    2016/06/03 05:45:00 428.472420 
    2016/06/03 06:00:00 428.476170 
    2016/06/03 06:15:00 428.473840 
    2016/06/03 06:30:00 428.469170 
    2016/06/03 06:45:00 428.467420 
    2016/06/03 07:00:00 428.467420 
    2016/06/03 07:15:00 428.465670 
    2016/06/03 07:30:00 428.463920 
    2016/06/03 07:45:00 428.461590 
    2016/06/03 08:00:00 428.461590 
    2016/06/03 08:15:00 428.458090 
    2016/06/03 08:30:00 428.461590 
    2016/06/03 08:45:00 428.459250 
    2016/06/03 09:00:00 428.461000 
    2016/06/03 09:15:00 428.462170 
    2016/06/03 09:30:00 428.458340 
    2016/06/03 09:45:00 428.463340 
    2016/06/03 10:00:00 428.459500 
    2016/06/03 10:15:00 428.461840 
    2016/06/03 10:30:00 428.462750 
    2016/06/03 10:45:00 428.464500 
    2016/06/03 11:00:00 428.461840 
    2016/06/03 11:15:00 428.466500 
    2016/06/03 11:30:00 428.463590 
    2016/06/03 11:45:00 428.469170 
    2016/06/03 12:00:00 428.465340 
    2016/06/03 12:15:00 428.465340 
    2016/06/03 12:30:00 428.463590 
    2016/06/03 12:45:00 428.465090 
    2016/06/03 13:00:00 428.465920 
    2016/06/03 13:15:00 428.466500 
    2016/06/03 13:30:00 428.468590 
    2016/06/03 13:45:00 428.465340 
    2016/06/03 14:00:00 428.467090 
    2016/06/03 14:15:00 428.468000 
    2016/06/03 14:30:00 428.468590 
    2016/06/03 14:45:00 428.469750 
    2016/06/03 15:00:00 428.467670 
    2016/06/03 15:15:00 428.468000 
    2016/06/03 15:30:00 428.468840 
    2016/06/03 15:45:00 428.471750 
    2016/06/03 16:00:00 428.472920 
    2016/06/03 16:15:00 428.469420 
    2016/06/03 16:30:00 428.468250 
    2016/06/03 16:45:00 428.466500 
    2016/06/03 17:00:00 428.471170 
    2016/06/03 17:15:00 428.469420 
    2016/06/03 17:30:00 428.476170 
    2016/06/03 17:45:00 428.474670 
    2016/06/03 18:00:00 428.478500 
    2016/06/03 18:15:00 428.479000 
    2016/06/03 18:30:00 428.480500 
    2016/06/03 18:45:00 428.481420 
    2016/06/03 19:00:00 428.485500 
    2016/06/03 19:15:00 428.488090 
    2016/06/03 19:30:00 428.484920 
    2016/06/03 19:45:00 428.487500 
    2016/06/03 20:00:00 428.486670 
    2016/06/03 20:15:00 428.493340 
    2016/06/03 20:30:00 428.493090 
    2016/06/03 20:45:00 428.492750 
    2016/06/03 21:00:00 428.496840 
    2016/06/03 21:15:00 428.500090 
    2016/06/03 21:30:00 428.498000 
    2016/06/03 21:45:00 428.496250 
    2016/06/03 22:00:00 428.499250 
    2016/06/03 22:15:00 428.501250 
    2016/06/03 22:30:00 428.505920 
    2016/06/03 22:45:00 428.499750 
    2016/06/03 23:00:00 428.505340 
    2016/06/03 23:15:00 428.503000 
    2016/06/03 23:30:00 428.502420 
    2016/06/03 23:45:00 428.505920 
    2016/06/04 00:00:00 428.506750 
    2016/06/04 00:15:00 428.503250 
    2016/06/04 00:30:00 428.505670 
    2016/06/04 00:45:00 428.508500 
    2016/06/04 01:00:00 428.507670 
    2016/06/04 01:15:00 428.507090 
    2016/06/04 01:30:00 428.505590 
    2016/06/04 01:45:00 428.507670 
    2016/06/04 02:00:00 428.506750 
    2016/06/04 02:15:00 428.512590 
    2016/06/04 02:30:00 428.510590 
    2016/06/04 02:45:00 428.509090 
    2016/06/04 03:00:00 428.511420 
    2016/06/04 03:15:00 428.515250 
    2016/06/04 03:30:00 428.517000 
    2016/06/04 03:45:00 428.512090 
    2016/06/04 04:00:00 428.517000 
    2016/06/04 04:15:00 428.517590 
