Specific discharge calculated as: THETA    *  SAT   *    VZ (from the obsPoints.out file). NaN may mean q is variable through the column, an unrealistic numerical result of the model.
5/31/2016 20:07:09,2.4085755E-83
5/31/2016 20:10:36,2.40841875E-83
5/31/2016 20:11:52,2.408367E-83
5/31/2016 20:14:16,2.40829425E-83
5/31/2016 20:17:09,2.4081765E-83
5/31/2016 20:20:36,2.408043E-83
5/31/2016 20:21:52,2.40799875E-83
5/31/2016 20:24:16,2.4079095E-83
5/31/2016 20:27:09,2.407803E-83
5/31/2016 20:30:36,2.40767775E-83
5/31/2016 20:31:52,2.40763725E-83
5/31/2016 20:34:16,2.3798025E-83
5/31/2016 20:37:09,2.3796555E-83
5/31/2016 20:40:36,2.37950475E-83
5/31/2016 20:41:52,2.3794425E-83
5/31/2016 20:44:16,2.3515935E-83
5/31/2016 20:47:09,2.351397E-83
5/31/2016 20:50:36,2.351202E-83
5/31/2016 20:51:52,2.351127E-83
5/31/2016 20:54:16,2.40629175E-83
5/31/2016 20:57:09,2.40615375E-83
5/31/2016 21:00:36,2.405952E-83
5/31/2016 21:01:52,2.40588375E-83
5/31/2016 21:04:16,2.433408E-83
5/31/2016 21:07:09,2.43328125E-83
5/31/2016 21:10:36,2.43312E-83
5/31/2016 21:11:52,2.433063E-83
5/31/2016 21:14:16,2.405319E-83
5/31/2016 21:17:09,2.405184E-83
5/31/2016 21:20:36,2.40503625E-83
5/31/2016 21:21:52,2.40498525E-83
5/31/2016 21:24:16,2.40485925E-83
5/31/2016 21:27:09,2.40471225E-83
5/31/2016 21:30:36,2.4045525E-83
5/31/2016 21:31:52,2.40449475E-83
5/31/2016 21:34:16,2.3767005E-83
5/31/2016 21:37:09,2.3764965E-83
5/31/2016 21:40:36,2.376306E-83
5/31/2016 21:41:52,2.37623475E-83
5/31/2016 21:44:16,2.37608925E-83
5/31/2016 21:47:09,2.37592425E-83
5/31/2016 21:50:36,2.37574425E-83
5/31/2016 21:51:52,2.3756805E-83
5/31/2016 21:54:16,2.403174E-83
5/31/2016 21:57:09,2.40304575E-83
5/31/2016 22:00:36,2.402889E-83
5/31/2016 22:01:52,2.402835E-83
5/31/2016 22:04:16,2.3750955E-83
5/31/2016 22:07:09,2.374935E-83
5/31/2016 22:10:36,2.37476925E-83
5/31/2016 22:11:52,2.3747115E-83
5/31/2016 22:14:16,2.31929475E-83
5/31/2016 22:17:09,2.31912E-83
5/31/2016 22:20:36,2.31893625E-83
5/31/2016 22:21:52,2.31886125E-83
5/31/2016 22:24:16,2.37395025E-83
5/31/2016 22:27:09,2.37377025E-83
5/31/2016 22:30:36,2.373582E-83
5/31/2016 22:31:52,2.373519E-83
5/31/2016 22:34:16,2.4284745E-83
5/31/2016 22:37:09,2.4283215E-83
5/31/2016 22:40:36,2.4281505E-83
5/31/2016 22:41:52,2.42804625E-83
5/31/2016 22:44:16,2.45544075E-83
5/31/2016 22:47:09,2.4552885E-83
5/31/2016 22:50:36,2.45511675E-83
5/31/2016 22:51:52,2.4550185E-83
5/31/2016 22:54:16,2.344512E-83
5/31/2016 22:57:09,2.344302E-83
5/31/2016 23:00:36,2.3440905E-83
5/31/2016 23:01:52,2.344011E-83
5/31/2016 23:04:16,2.39905575E-83
5/31/2016 23:07:09,2.398827E-83
5/31/2016 23:10:36,2.39861175E-83
5/31/2016 23:11:52,2.398542E-83
5/31/2016 23:14:16,2.4810495E-83
5/31/2016 23:17:09,2.4808875E-83
5/31/2016 23:20:36,2.48068275E-83
5/31/2016 23:21:52,2.4806055E-83
5/31/2016 23:24:16,2.45289075E-83
5/31/2016 23:27:09,2.452719E-83
5/31/2016 23:30:36,2.45252925E-83
5/31/2016 23:31:52,2.4524565E-83
5/31/2016 23:34:16,2.39720175E-83
5/31/2016 23:37:09,2.3970165E-83
5/31/2016 23:40:36,2.3968185E-83
5/31/2016 23:41:52,2.39674725E-83
5/31/2016 23:44:16,2.34152175E-83
5/31/2016 23:47:09,2.3413545E-83
5/31/2016 23:50:36,2.34117375E-83
5/31/2016 23:51:52,2.34111E-83
5/31/2016 23:54:16,2.34093825E-83
5/31/2016 23:57:09,2.34073875E-83
6/1/2016 0:00:36,2.34053325E-83
6/1/2016 0:01:52,2.3404575E-83
6/1/2016 0:04:16,2.3402985E-83
6/1/2016 0:07:09,2.34012075E-83
6/1/2016 0:10:36,2.339922E-83
6/1/2016 0:11:52,2.33985075E-83
6/1/2016 0:14:16,2.36723475E-83
6/1/2016 0:17:09,2.3670915E-83
6/1/2016 0:20:36,2.366916E-83
6/1/2016 0:21:52,2.36685525E-83
6/1/2016 0:24:16,2.4217425E-83
6/1/2016 0:27:09,2.4215805E-83
6/1/2016 0:30:36,2.42138925E-83
6/1/2016 0:31:52,2.421324E-83
6/1/2016 0:34:16,2.3936835E-83
6/1/2016 0:37:09,2.39351625E-83
6/1/2016 0:40:36,2.39333625E-83
6/1/2016 0:41:52,2.393274E-83
6/1/2016 0:44:16,2.33806875E-83
6/1/2016 0:47:09,2.3378505E-83
6/1/2016 0:50:36,2.33762625E-83
6/1/2016 0:51:52,2.3375475E-83
6/1/2016 0:54:16,2.309919E-83
6/1/2016 0:57:09,2.309742E-83
6/1/2016 1:00:36,2.3095545E-83
